Vlad,Ionescu,20,123456789,100,UniBuc,Info,2,vlad.ionescu@mail.com
Radu,Popescu,20,123456789,100,UniBuc,Info,2,radu.popescu@mail.com
Mihai,Trandafir,20,123456789,100,UniBuc,Info,2,mihai.trandafir@mail.com
Andrei,Vasile,20,123456789,100,UniBuc,Info,2,andrei.vasile@mail.com
Sergiu,Bogdan,20,123456789,100,UniBuc,Info,2,sergiu.bogdan@mail.com
Lucian,Mihai,20,123456789,100,UniBuc,Info,2,lucian.mihai@mail.com
Ionel,Mihai,20,123456789,100,UniBuc,Info,2,ionel.mihai@mail.com
Daniel,Stroe,20,123456789,100,UniBuc,Info,2,daniel.stroe@mail.com
Ionut,Iliescu,20,123456789,100,UniBuc,Info,2,ionut.iliescu@mail.com
Sorin,Popescu,20,123456789,100,UniBuc,Info,2,sorin.popescu@mail.com
Denis,Varlan,20,123456789,100,UniBuc,Info,2,denis.varlan@mail.com
